FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
26428654,하동관 코엑스몰직영점,30,"한식(곰탕,설렁탕)",서울 강남구 영동대로 513 코엑스몰 지하1층 J101호,매일 10:30 ~ 19:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF3D2CC06509145DF8B41787F263413C4,3.4,127.0587766,37.512561,삼성동,서비스,남,30대,2
170461079,탕탕집,30,"한식(곰탕,설렁탕)",서울 강남구 학동로4길 12,매일 00:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8DFC04C921EB4CBB947BA34FB4746CA0,3.8,127.0230461,37.510649,논현동,분위기,남,50대,2
8746906,압구정공주떡,30,"한식(떡,한과)",서울 강남구 논현로161길 10 1층,매일 00:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5B0D5C975C764D978E35DF7645954ABB,4,127.027459,37.5236064,신사동,맛,남,10대,9
11426596,도수향,30,"한식(떡,한과)",서울 강남구 선릉로161길 21-4 1층,월~금 08:30 ~ 18:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F31074B127A424FC99E6A0373ECC20D96,3.3,127.0384882,37.5272108,신사동,가격,여,10대,9
14529630,경복궁불고기 압구정점,30,한식(불고기),서울 강남구 압구정로30길 51 I.S.A빌딩 지하1층,매일 11:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F465AC1E6FEDC4AA1B6E10C185375A732,4,127.0293779,37.5239375,신사동,분위기,여,60대이상,37
1117702712,진전복삼계탕,30,한식(삼계탕),서울 강남구 선릉로129길 21 1층,매일 11:00 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1352329274,4.2,127.039777,37.515814,논현동,주차,남,30대,37
8407127,신의주찹쌀순대,30,한식(순대),서울 강남구 영동대로 725,매일 07:00 ~ 24:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F9C92497DB018470787C92505A73F127D,3.3,127.0551676,37.5224797,청담동,서비스,여,10대,16
11831548,현대순대국,30,한식(순대),서울 강남구 강남대로124길 20,월~금 09:30 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F63F863C8C3CB4496966A1D7538881C84,3.1,127.0242432,37.509055,논현동,가격,여,10대,16
16421356,농민백암왕순대,30,한식(순대),서울 강남구 역삼로3길 20-4,월~금 11:00 ~ 21:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F72133A7DB4694218991232538C3B33CF,4.6,127.0315065,37.4949142,역삼동,주차,여,20대,16
11190567,뽕나무쟁이 선릉본점,30,"한식(족발,보쌈)",서울 강남구 역삼로65길 31,매일 12:00 ~ 02:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDD55F90555784A2785F18C6E8644C477,4.2,127.0520175,37.5032081,대치동,맛,남,10대,29
